0,1X,10,36,131.4
10,1X,10,36,117.0
20,1X,10,44,151.8
30,1X,10,36,135.0
40,1X,10,36,124.2
50,1X,10,36,113.4
60,1X,10,32,97.6
70,1X,10,40,150.0
80,1X,10,40,142.0
90,1X,10,36,133.2
0,1X,20,88,440.0
10,1X,20,136,673.2
20,1X,20,104,582.4
30,1X,20,80,496.0
40,1X,20,136,652.8
50,1X,20,96,475.2
60,1X,20,96,513.6
70,1X,20,112,571.2
80,1X,20,88,431.2
90,1X,20,120,654.0
0,1X,40,352,2710.4
10,1X,40,416,3057.6
20,1X,40,384,2803.2
30,1X,40,288,2260.8
40,1X,40,256,2124.8
50,1X,40,384,2956.8
60,1X,40,288,2332.8
70,1X,40,320,2544.0
80,1X,40,448,3248.0
90,1X,40,384,2956.8
0,1X,80,896,11020.8
10,1X,80,896,11244.8
20,1X,80,1024,12441.6
30,1X,80,1280,15296.0
40,1X,80,1024,11929.6
50,1X,80,1408,16684.8
60,1X,80,1536,17664.0
70,1X,80,1408,16262.4
80,1X,80,1408,16262.4
90,1X,80,1280,14272.0
0,UX,10,28,100.8
10,UX,10,20,67.0
20,UX,10,24,81.6
30,UX,10,20,68.0
40,UX,10,24,82.8
50,UX,10,36,109.8
60,UX,10,28,89.6
70,UX,10,16,56.0
80,UX,10,28,92.4
90,UX,10,24,82.8
0,UX,20,44,213.4
10,UX,20,48,235.2
20,UX,20,44,202.4
30,UX,20,52,231.4
40,UX,20,44,209.0
50,UX,20,40,192.0
60,UX,20,56,252.0
70,UX,20,60,270.0
80,UX,20,52,239.2
90,UX,20,48,228.0
0,UX,40,104,686.4
10,UX,40,80,548.0
20,UX,40,88,580.8
30,UX,40,80,544.0
40,UX,40,80,560.0
50,UX,40,80,560.0
60,UX,40,104,696.8
70,UX,40,88,602.8
80,UX,40,88,572.0
90,UX,40,88,589.6
0,UX,80,160,1576.0
10,UX,80,208,1924.0
20,UX,80,144,1389.6
30,UX,80,208,1965.6
40,UX,80,176,1636.8
50,UX,80,176,1619.2
60,UX,80,144,1389.6
70,UX,80,144,1389.6
80,UX,80,160,1512.0
90,UX,80,144,1418.4
0,UX,160,320,4336.0
10,UX,160,288,3888.0
20,UX,160,256,3545.6
30,UX,160,320,4400.0
40,UX,160,224,3158.4
50,UX,160,256,3507.2
60,UX,160,272,3767.2
70,UX,160,272,3672.0
80,UX,160,256,3481.6
90,UX,160,272,3699.2
